# sensorTOOL V2.1.0.3234
# SensorTypeName:capaNCDT 6200, SerialNumber:3165, RecordingDate:2025-04-14_21-37-13.107, IP_AddressFamily:2, IP_Interface:TCP/IP, IP_RemoteAddr:169.254.168.150, IP_SensorTypeName:DT6200, SA_Address:169.254.168.150, SA_AddressFamily:2, SA_ArticleNumber:8010079, SA_ArticleNumber1:2303019, SA_ArticleNumber2:2303019, SA_ArticleNumber3:2303019, SA_AvrNbr:8, SA_AvrType:1, SA_ChExist1:1, SA_ChExist10:0, SA_ChExist11:0, SA_ChExist12:0, SA_ChExist13:0, SA_ChExist14:0, SA_ChExist15:0, SA_ChExist16:0, SA_ChExist17:0, SA_ChExist18:0, SA_ChExist19:0, SA_ChExist2:1, SA_ChExist20:0, SA_ChExist21:0, SA_ChExist22:0, SA_ChExist23:0, SA_ChExist24:0, SA_ChExist25:0, SA_ChExist26:0, SA_ChExist27:0, SA_ChExist28:0, SA_ChExist29:0, SA_ChExist3:1, SA_ChExist30:0, SA_ChExist31:0, SA_ChExist32:0, SA_ChExist4:2, SA_ChExist5:0, SA_ChExist6:0, SA_ChExist7:0, SA_ChExist8:0, SA_ChExist9:0, SA_ControllerName:DT6220, SA_DHCPEnabled:0, SA_DataType1:1, SA_DataType2:1, SA_DataType3:1, SA_DataType4:1, SA_Gateway:169.254.168.1, SA_IPAddress:169.254.168.150, SA_LocalAdapterDescription:Surface Ethernet Adapter, SA_LocalAdapterLuid:Value= 1689399716741120, Info.Reserved= 0, Info.NetLuidIndex= 32774, Info.IfType= 6, SA_LocalDHCPEnabled:1, SA_LocalDefaultGateway:192.168.0.51, SA_LocalIPAddress:169.254.248.42, SA_LocalSubnetMask:255.255.0.0, SA_MaxChannelCnt:4, SA_Name:DT6200, SA_NetworkBits:16, SA_Offset1:0, SA_Offset2:0, SA_Offset3:0, SA_Offset4:0, SA_Option:0, SA_Range1:500, SA_Range2:200, SA_Range3:200, SA_Range4:100, SA_RawRangeMax1:16777215, SA_RawRangeMax2:16777215, SA_RawRangeMax3:16777215, SA_RawRangeMax4:16777215, SA_RawRangeMin1:0, SA_RawRangeMin2:0, SA_RawRangeMin3:0, SA_RawRangeMin4:0, SA_SampleTime:1920, SA_SearchCompleted:1, SA_Sensor:DT6220, SA_SensorAccessible:1, SA_SensorInformation:S_Command=, SA_SensorName1:DL6230, SA_SensorName2:DL6230, SA_SensorName3:DL6230, SA_SensorName4:  , SA_SerialNumber:3165, SA_SerialNumber1:2887, SA_SerialNumber2:2888, SA_SerialNumber3:2889, SA_SoftwareVersion:V1.5a, SA_Softwareversion:1.3a, SA_SubnetMask:255.255.0.0, SA_TrgMode:0, SA_UUID:89079B41-5D59-49DF-AFDA-6DC6EF4E3B51, SA_Unit1:µm, SA_Unit2:µm, SA_Unit3:µm, SA_Unit4:µm, SA_Version:DT6200;V1.5a;8010079
# SignalName           , SensorName           , SerialNumber         , ArticleNumber        , DataRate             , RangeMin             , RangeMax             , ViewRange            
# Distance1            , DL6230               , 2887                 , 2303019              , 520.8333333 Hz       , 0 µm                 , 500 µm               , 5 µm                 
# Distance2            , DL6230               , 2888                 , 2303019              , 520.8333333 Hz       , 0 µm                 , 200 µm               , 2 µm                 
# Distance3            , DL6230               , 2889                 , 2303019              , 520.8333333 Hz       , 0 µm                 , 200 µm               , 2 µm                 
# Mathematic4          ,                      ,                      ,                      , 520.8333333 Hz       , 0 µm                 , 100 µm               , 1 µm                 
# 1_Averaging:Disabled, 2_Triggering:Disabled, 3_Subsampling:Disabled, 4_Mastering:Disabled
# Separator:Komma, DecimalComma:Punkt
# Data acquisition time, Epoch time (ms), Distance1 (µm), Distance2 (µm), Distance3 (µm), Mathematic4 (µm)
2025-04-14 21:36:41.530661, 1744659401530.661,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.532578, 1744659401532.578,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.534496, 1744659401534.496,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.536413, 1744659401536.413,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.538331, 1744659401538.331,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.540248, 1744659401540.248,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.542166, 1744659401542.166,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.544085, 1744659401544.084,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.546003, 1744659401546.003,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.547922, 1744659401547.922,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.549841, 1744659401549.841,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.551760, 1744659401551.760,  60.895, 213.829, 213.715, 167.914
2025-04-14 21:36:41.553677, 1744659401553.677,  60.895, 213.829, 213.715, 167.914
2025-04-14 21:36:41.555593, 1744659401555.594,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.557510, 1744659401557.510,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.559427, 1744659401559.427,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.561344, 1744659401561.344,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.563261, 1744659401563.260,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.565177, 1744659401565.177,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.567094, 1744659401567.094,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.569012, 1744659401569.012,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.570930, 1744659401570.930,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.572848, 1744659401572.848,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.574766, 1744659401574.766,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.576684, 1744659401576.684,  60.895, 213.829, 213.715, 167.914
2025-04-14 21:36:41.578607, 1744659401578.607,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.580529, 1744659401580.529,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.582448, 1744659401582.448,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.584367, 1744659401584.366,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.586285, 1744659401586.285,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.588204, 1744659401588.204,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.590122, 1744659401590.123,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.592041, 1744659401592.041,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.593961, 1744659401593.961,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.595882, 1744659401595.882,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.597800, 1744659401597.800,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.599718, 1744659401599.718,  60.895, 213.829, 213.715, 167.914
2025-04-14 21:36:41.601635, 1744659401601.635,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.603554, 1744659401603.553,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.605471, 1744659401605.471,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.607389, 1744659401607.389,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.609307, 1744659401609.307,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.611225, 1744659401611.225,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.613142, 1744659401613.143,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.615061, 1744659401615.061,  60.896, 213.829, 213.715, 167.915
2025-04-14 21:36:41.616979, 1744659401616.979,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.618898, 1744659401618.898,  60.895, 213.829, 213.715, 167.915
2025-04-14 21:36:41.620817, 1744659401620.817,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.622736, 1744659401622.736,  60.894, 213.829, 213.715, 167.914
2025-04-14 21:36:41.624655, 1744659401624.655,  60.904, 213.829, 213.715, 167.917
2025-04-14 21:36:41.626574, 1744659401626.574,  60.964, 213.829, 213.715, 167.935
2025-04-14 21:36:41.628494, 1744659401628.494,  61.051, 213.829, 213.715, 167.961
2025-04-14 21:36:41.630413, 1744659401630.413,  61.123, 213.829, 213.715, 167.983
2025-04-14 21:36:41.632332, 1744659401632.332,  61.245, 213.829, 213.715, 168.020
2025-04-14 21:36:41.634253, 1744659401634.253,  61.452, 213.829, 213.715, 168.082
2025-04-14 21:36:41.636173, 1744659401636.173,  61.692, 213.829, 213.715, 168.154
2025-04-14 21:36:41.638091, 1744659401638.091,  61.945, 213.829, 213.715, 168.229
2025-04-14 21:36:41.640009, 1744659401640.009,  62.221, 213.829, 213.715, 168.313
2025-04-14 21:36:41.641927, 1744659401641.927,  62.524, 213.829, 213.715, 168.403
2025-04-14 21:36:41.643845, 1744659401643.845,  62.860, 213.829, 213.715, 168.504
2025-04-14 21:36:41.645763, 1744659401645.763,  63.211, 213.829, 213.715, 168.610
2025-04-14 21:36:41.647681, 1744659401647.681,  63.532, 213.829, 213.715, 168.706
2025-04-14 21:36:41.649599, 1744659401649.599,  63.840, 213.829, 213.715, 168.798
2025-04-14 21:36:41.651517, 1744659401651.517,  64.170, 213.829, 213.715, 168.897
2025-04-14 21:36:41.653435, 1744659401653.435,  64.499, 213.829, 213.715, 168.996
2025-04-14 21:36:41.655354, 1744659401655.354,  64.822, 213.829, 213.715, 169.093
2025-04-14 21:36:41.657272, 1744659401657.272,  65.137, 213.829, 213.715, 169.187
2025-04-14 21:36:41.659191, 1744659401659.191,  65.440, 213.829, 213.715, 169.278
2025-04-14 21:36:41.661111, 1744659401661.111,  65.767, 213.829, 213.715, 169.376
2025-04-14 21:36:41.663030, 1744659401663.030,  66.107, 213.829, 213.715, 169.478
2025-04-14 21:36:41.664950, 1744659401664.950,  66.430, 213.829, 213.715, 169.575
2025-04-14 21:36:41.666870, 1744659401666.870,  66.748, 213.829, 213.715, 169.671
2025-04-14 21:36:41.668787, 1744659401668.787,  67.088, 213.829, 213.715, 169.772
2025-04-14 21:36:41.670705, 1744659401670.705,  67.433, 213.829, 213.715, 169.876
2025-04-14 21:36:41.672622, 1744659401672.622,  67.752, 213.829, 213.715, 169.972
2025-04-14 21:36:41.674540, 1744659401674.540,  68.066, 213.829, 213.715, 170.066
2025-04-14 21:36:41.676457, 1744659401676.457,  68.397, 213.829, 213.715, 170.165
2025-04-14 21:36:41.678376, 1744659401678.376,  68.727, 213.829, 213.715, 170.264
2025-04-14 21:36:41.680294, 1744659401680.294,  69.038, 213.829, 213.715, 170.358
2025-04-14 21:36:41.682213, 1744659401682.213,  69.337, 213.829, 213.715, 170.447
2025-04-14 21:36:41.684132, 1744659401684.132,  69.602, 213.829, 213.715, 170.527
2025-04-14 21:36:41.686051, 1744659401686.051,  69.830, 213.829, 213.715, 170.595
2025-04-14 21:36:41.687969, 1744659401687.969,  70.053, 213.829, 213.715, 170.662
2025-04-14 21:36:41.689888, 1744659401689.888,  70.242, 213.829, 213.715, 170.719
2025-04-14 21:36:41.691807, 1744659401691.807,  70.359, 213.829, 213.715, 170.754
2025-04-14 21:36:41.693727, 1744659401693.727,  70.421, 213.829, 213.715, 170.773
2025-04-14 21:36:41.695647, 1744659401695.647,  70.468, 213.829, 213.715, 170.786
2025-04-14 21:36:41.697567, 1744659401697.567,  70.499, 213.829, 213.715, 170.796
2025-04-14 21:36:41.699487, 1744659401699.487,  70.509, 213.829, 213.715, 170.799
2025-04-14 21:36:41.701407, 1744659401701.407,  70.496, 213.829, 213.715, 170.795
2025-04-14 21:36:41.703325, 1744659401703.325,  70.464, 213.829, 213.715, 170.785
2025-04-14 21:36:41.705243, 1744659401705.243,  70.448, 213.829, 213.715, 170.781
2025-04-14 21:36:41.707161, 1744659401707.161,  70.454, 213.829, 213.715, 170.782
