# Data acquisition time, Epoch time (ms), Distance1 (µm), Distance2 (µm), Distance3 (µm), Mathematic4 (µm)
2025-04-14 21:05:17.246920, 1744657517246.920,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.248840, 1744657517248.840,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.250872, 1744657517250.872,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.252903, 1744657517252.903,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.254935, 1744657517254.935,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.256937, 1744657517256.937,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.258939, 1744657517258.938,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.260940, 1744657517260.940,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.263133, 1744657517263.133,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.265326, 1744657517265.325,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.267186, 1744657517267.186,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.269047, 1744657517269.047,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.270907, 1744657517270.907,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.272768, 1744657517272.768,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.274628, 1744657517274.628,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.276493, 1744657517276.493,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.278357, 1744657517278.357,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.280222, 1744657517280.222,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.282106, 1744657517282.106,  10.868, 213.829, 213.715, 152.906
2025-04-14 21:05:17.283990, 1744657517283.990,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.285874, 1744657517285.874,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.287871, 1744657517287.871,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.289868, 1744657517289.868,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.291853, 1744657517291.854,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.293839, 1744657517293.839,  10.867, 213.829, 213.715, 152.906
2025-04-14 21:05:17.295824, 1744657517295.824,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.297880, 1744657517297.880,  10.866, 213.829, 213.715, 152.906
2025-04-14 21:05:17.299935, 1744657517299.935,  10.866, 213.829, 213.715, 152.906
