# Data acquisition time, Epoch time (ms), Distance1 (µm), Distance2 (µm), Distance3 (µm), Mathematic4 (µm)
2025-04-14 21:17:26.518362, 1744658246518.362, 102.727, 213.829, 213.715, 180.464
2025-04-14 21:17:26.520282, 1744658246520.282, 102.727, 213.829, 213.715, 180.464
2025-04-14 21:17:26.522202, 1744658246522.202, 102.726, 213.829, 213.715, 180.464
2025-04-14 21:17:26.524122, 1744658246524.122, 102.726, 213.829, 213.715, 180.464
2025-04-14 21:17:26.526042, 1744658246526.042, 102.725, 213.829, 213.715, 180.464
2025-04-14 21:17:26.527963, 1744658246527.963, 102.725, 213.829, 213.715, 180.464
2025-04-14 21:17:26.529883, 1744658246529.883, 102.724, 213.829, 213.715, 180.463
2025-04-14 21:17:26.531803, 1744658246531.803, 102.724, 213.829, 213.715, 180.463
2025-04-14 21:17:26.533723, 1744658246533.723, 102.723, 213.829, 213.715, 180.463
2025-04-14 21:17:26.535643, 1744658246535.643, 102.723, 213.829, 213.715, 180.463
2025-04-14 21:17:26.537564, 1744658246537.563, 102.722, 213.829, 213.715, 180.463
2025-04-14 21:17:26.539484, 1744658246539.484, 102.722, 213.829, 213.715, 180.463
2025-04-14 21:17:26.541404, 1744658246541.404, 102.721, 213.829, 213.715, 180.462
2025-04-14 21:17:26.543324, 1744658246543.324, 102.720, 213.829, 213.715, 180.462
2025-04-14 21:17:26.545244, 1744658246545.244, 102.720, 213.829, 213.715, 180.462
2025-04-14 21:17:26.547164, 1744658246547.164, 102.720, 213.829, 213.715, 180.462
2025-04-14 21:17:26.549084, 1744658246549.084, 102.719, 213.829, 213.715, 180.462
2025-04-14 21:17:26.551005, 1744658246551.005, 102.718, 213.829, 213.715, 180.461
2025-04-14 21:17:26.552925, 1744658246552.925, 102.698, 213.829, 213.715, 180.455
2025-04-14 21:17:26.554845, 1744658246554.845, 102.636, 213.829, 213.715, 180.437
2025-04-14 21:17:26.556765, 1744658246556.765, 102.559, 213.829, 213.715, 180.414
2025-04-14 21:17:26.558685, 1744658246558.685, 102.474, 213.829, 213.715, 180.388
2025-04-14 21:17:26.560606, 1744658246560.605, 102.371, 213.829, 213.715, 180.357
2025-04-14 21:17:26.562526, 1744658246562.526, 102.269, 213.829, 213.715, 180.327
2025-04-14 21:17:26.564446, 1744658246564.446, 102.175, 213.829, 213.715, 180.299
2025-04-14 21:17:26.566366, 1744658246566.366, 102.071, 213.829, 213.715, 180.267
2025-04-14 21:17:26.568286, 1744658246568.286, 101.983, 213.829, 213.715, 180.241
2025-04-14 21:17:26.570206, 1744658246570.206, 101.943, 213.829, 213.715, 180.229
2025-04-14 21:17:26.572126, 1744658246572.126, 101.920, 213.829, 213.715, 180.222
2025-04-14 21:17:26.574047, 1744658246574.047, 101.898, 213.829, 213.715, 180.216
