0.45mm_10steps_500ms_1.csv,0.45mm_10steps_500ms_2.csv,0.45mm_40steps_300ms_1.csv,0.45mm_40steps_300ms_2.csv,0.45mm_480steps_300ms.csv,0.45mm_80steps_300ms.csv,single_step_40_300ms_1.csv,single_step_40_300ms_2.csv,triple_step_40_300ms_1.csv,triple_step_40_300ms_2.csv,triple_step_40_300ms_3.csv
11.414,10.866,391.188,60.895,102.727,457.262,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.388,60.894,102.727,457.261,23.674,23.709,10.774,10.753,10.753
11.414,10.866,391.541,60.895,102.726,457.261,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.657,60.895,102.726,457.259,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.733,60.895,102.725,457.259,23.674,23.709,10.774,10.752,10.752
11.414,10.866,391.756,60.895,102.725,457.257,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.767,60.896,102.724,457.258,23.674,23.71,10.774,10.752,10.752
11.414,10.867,391.786,60.896,102.724,457.257,23.674,23.71,10.774,10.752,10.752
11.414,10.867,391.79,60.896,102.723,457.257,23.674,23.71,10.774,10.751,10.751
11.413,10.867,391.814,60.896,102.723,457.256,23.674,23.71,10.774,10.751,10.751
11.413,10.866,391.82,60.895,102.722,457.256,23.674,23.71,10.774,10.751,10.751
11.413,10.867,391.836,60.895,102.722,457.256,23.674,23.71,10.774,10.751,10.751
11.413,10.867,391.871,60.895,102.721,457.255,23.675,23.709,10.774,10.751,10.751
11.413,10.867,391.872,60.894,102.72,457.255,23.674,23.709,10.774,10.751,10.751
11.414,10.867,391.873,60.894,102.72,457.254,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.874,60.894,102.72,457.254,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.871,60.895,102.719,457.254,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.851,60.895,102.718,457.253,23.674,23.709,10.774,10.752,10.752
11.414,10.868,391.851,60.896,102.698,457.252,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.837,60.896,102.636,457.251,23.674,23.709,10.774,10.752,10.752
11.414,10.867,391.799,60.896,102.559,457.25,23.674,23.71,10.774,10.752,10.752
11.414,10.867,391.8,60.896,102.474,457.25,23.674,23.71,10.774,10.752,10.752
11.414,10.867,391.8,60.895,102.371,457.249,23.674,23.71,10.774,10.752,10.752
11.414,10.867,391.799,60.895,102.269,457.248,23.674,23.71,10.774,10.752,10.752
11.414,10.867,391.799,60.895,102.175,457.247,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.8,60.894,102.071,457.248,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.799,60.894,101.983,457.247,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.799,60.894,101.943,457.246,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.798,60.895,101.92,457.245,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.799,60.896,101.898,457.245,23.674,23.71,10.774,10.752,10.752
11.414,10.866,391.797,60.896,101.898,457.245,23.674,23.71,10.773,10.752,10.752
