# Data acquisition time, Epoch time (ms), Distance1 (µm), Distance2 (µm), Distance3 (µm), Mathematic4 (µm)
2025-04-14 21:32:09.063920, 1744659129063.920,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.065840, 1744659129065.840,  10.753, 213.829, 213.715, 152.872
2025-04-14 21:32:09.067760, 1744659129067.760,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.069680, 1744659129069.680,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.071600, 1744659129071.600,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.074662, 1744659129074.662,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.077725, 1744659129077.725,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.079808, 1744659129079.808,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.081891, 1744659129081.891,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.083974, 1744659129083.974,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.086057, 1744659129086.057,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.088140, 1744659129088.140,  10.751, 213.829, 213.715, 152.871
2025-04-14 21:32:09.090223, 1744659129090.223,  10.751, 213.829, 213.715, 152.871
2025-04-14 21:32:09.092377, 1744659129092.377,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.094532, 1744659129094.532,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.096626, 1744659129096.626,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.098720, 1744659129098.720,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.100814, 1744659129100.814,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.103277, 1744659129103.277,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.105740, 1744659129105.740,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.108109, 1744659129108.109,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.110478, 1744659129110.478,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.112847, 1744659129112.847,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.115216, 1744659129115.217,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.117586, 1744659129117.586,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.119955, 1744659129119.955,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.122324, 1744659129122.324,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.124693, 1744659129124.693,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.127130, 1744659129127.130,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.129567, 1744659129129.567,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.132004, 1744659129132.003,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.134440, 1744659129134.440,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.136877, 1744659129136.877,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.139314, 1744659129139.314,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.141751, 1744659129141.750,  10.753, 213.829, 213.715, 152.872
2025-04-14 21:32:09.144187, 1744659129144.187,  10.753, 213.829, 213.715, 152.872
2025-04-14 21:32:09.146217, 1744659129146.217,  10.753, 213.829, 213.715, 152.872
2025-04-14 21:32:09.148246, 1744659129148.246,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.150276, 1744659129150.276,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.152305, 1744659129152.305,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.154335, 1744659129154.335,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.156364, 1744659129156.365,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.158394, 1744659129158.394,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.160423, 1744659129160.424,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.162453, 1744659129162.453,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.164483, 1744659129164.483,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.166501, 1744659129166.501,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.168520, 1744659129168.520,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.170539, 1744659129170.539,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.172482, 1744659129172.482,  10.751, 213.829, 213.715, 152.872
2025-04-14 21:32:09.174426, 1744659129174.426,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.176369, 1744659129176.369,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.178313, 1744659129178.313,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.180256, 1744659129180.256,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.182195, 1744659129182.195,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.184134, 1744659129184.134,  10.752, 213.829, 213.715, 152.872
2025-04-14 21:32:09.186074, 1744659129186.073,  10.752, 213.829, 213.715, 152.872
