# sensorTOOL V2.1.0.3234
# SensorTypeName:capaNCDT 6200, SerialNumber:3165, RecordingDate:2025-04-14_21-26-04.894, IP_AddressFamily:2, IP_Interface:TCP/IP, IP_RemoteAddr:169.254.168.150, IP_SensorTypeName:DT6200, SA_Address:169.254.168.150, SA_AddressFamily:2, SA_ArticleNumber:8010079, SA_ArticleNumber1:2303019, SA_ArticleNumber2:2303019, SA_ArticleNumber3:2303019, SA_AvrNbr:8, SA_AvrType:1, SA_ChExist1:1, SA_ChExist10:0, SA_ChExist11:0, SA_ChExist12:0, SA_ChExist13:0, SA_ChExist14:0, SA_ChExist15:0, SA_ChExist16:0, SA_ChExist17:0, SA_ChExist18:0, SA_ChExist19:0, SA_ChExist2:1, SA_ChExist20:0, SA_ChExist21:0, SA_ChExist22:0, SA_ChExist23:0, SA_ChExist24:0, SA_ChExist25:0, SA_ChExist26:0, SA_ChExist27:0, SA_ChExist28:0, SA_ChExist29:0, SA_ChExist3:1, SA_ChExist30:0, SA_ChExist31:0, SA_ChExist32:0, SA_ChExist4:2, SA_ChExist5:0, SA_ChExist6:0, SA_ChExist7:0, SA_ChExist8:0, SA_ChExist9:0, SA_ControllerName:DT6220, SA_DHCPEnabled:0, SA_DataType1:1, SA_DataType2:1, SA_DataType3:1, SA_DataType4:1, SA_Gateway:169.254.168.1, SA_IPAddress:169.254.168.150, SA_LocalAdapterDescription:Surface Ethernet Adapter, SA_LocalAdapterLuid:Value= 1689399716741120, Info.Reserved= 0, Info.NetLuidIndex= 32774, Info.IfType= 6, SA_LocalDHCPEnabled:1, SA_LocalDefaultGateway:192.168.0.51, SA_LocalIPAddress:169.254.248.42, SA_LocalSubnetMask:255.255.0.0, SA_MaxChannelCnt:4, SA_Name:DT6200, SA_NetworkBits:16, SA_Offset1:0, SA_Offset2:0, SA_Offset3:0, SA_Offset4:0, SA_Option:0, SA_Range1:500, SA_Range2:200, SA_Range3:200, SA_Range4:100, SA_RawRangeMax1:16777215, SA_RawRangeMax2:16777215, SA_RawRangeMax3:16777215, SA_RawRangeMax4:16777215, SA_RawRangeMin1:0, SA_RawRangeMin2:0, SA_RawRangeMin3:0, SA_RawRangeMin4:0, SA_SampleTime:1920, SA_SearchCompleted:1, SA_Sensor:DT6220, SA_SensorAccessible:1, SA_SensorInformation:S_Command=, SA_SensorName1:DL6230, SA_SensorName2:DL6230, SA_SensorName3:DL6230, SA_SensorName4:  , SA_SerialNumber:3165, SA_SerialNumber1:2887, SA_SerialNumber2:2888, SA_SerialNumber3:2889, SA_SoftwareVersion:V1.5a, SA_Softwareversion:1.3a, SA_SubnetMask:255.255.0.0, SA_TrgMode:0, SA_UUID:89079B41-5D59-49DF-AFDA-6DC6EF4E3B51, SA_Unit1:µm, SA_Unit2:µm, SA_Unit3:µm, SA_Unit4:µm, SA_Version:DT6200;V1.5a;8010079
# SignalName           , SensorName           , SerialNumber         , ArticleNumber        , DataRate             , RangeMin             , RangeMax             , ViewRange            
# Distance1            , DL6230               , 2887                 , 2303019              , 520.8333333 Hz       , 0 µm                 , 500 µm               , 5 µm                 
# Distance2            , DL6230               , 2888                 , 2303019              , 520.8333333 Hz       , 0 µm                 , 200 µm               , 2 µm                 
# Distance3            , DL6230               , 2889                 , 2303019              , 520.8333333 Hz       , 0 µm                 , 200 µm               , 2 µm                 
# Mathematic4          ,                      ,                      ,                      , 520.8333333 Hz       , 0 µm                 , 100 µm               , 1 µm                 
# 1_Averaging:Disabled, 2_Triggering:Disabled, 3_Subsampling:Disabled, 4_Mastering:Disabled
# Separator:Komma, DecimalComma:Punkt
# Data acquisition time, Epoch time (ms), Distance1 (µm), Distance2 (µm), Distance3 (µm), Mathematic4 (µm)
2025-04-14 21:25:34.061920, 1744658734061.920,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.063840, 1744658734063.840,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.065662, 1744658734065.662,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.067484, 1744658734067.484,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.069307, 1744658734069.307,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.070808, 1744658734070.808,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.072309, 1744658734072.310,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.073811, 1744658734073.811,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.075313, 1744658734075.313,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.076814, 1744658734076.814,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.078396, 1744658734078.396,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.079977, 1744658734079.978,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.081559, 1744658734081.559,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.083340, 1744658734083.340,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.085120, 1744658734085.120,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.086901, 1744658734086.901,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.088681, 1744658734088.681,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.090462, 1744658734090.462,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.092243, 1744658734092.243,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.094023, 1744658734094.023,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.095804, 1744658734095.804,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.097655, 1744658734097.655,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.099505, 1744658734099.505,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.101590, 1744658734101.590,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.103675, 1744658734103.675,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.105760, 1744658734105.760,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.107590, 1744658734107.590,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.109420, 1744658734109.420,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.111250, 1744658734111.250,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.113080, 1744658734113.080,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.114909, 1744658734114.909,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.116739, 1744658734116.739,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.118569, 1744658734118.569,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.120399, 1744658734120.399,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.122229, 1744658734122.229,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.124059, 1744658734124.059,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.125896, 1744658734125.896,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.127733, 1744658734127.733,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.129571, 1744658734129.571,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.131456, 1744658734131.456,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.133341, 1744658734133.341,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.135214, 1744658734135.214,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.137088, 1744658734137.088,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.138962, 1744658734138.961,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.140827, 1744658734140.827,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.142692, 1744658734142.692,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.144557, 1744658734144.557,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.146453, 1744658734146.453,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.148349, 1744658734148.349,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.150238, 1744658734150.238,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.152127, 1744658734152.127,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.154016, 1744658734154.016,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.155899, 1744658734155.899,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.157782, 1744658734157.782,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.159665, 1744658734159.665,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.161582, 1744658734161.582,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.163499, 1744658734163.499,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.165420, 1744658734165.420,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.167341, 1744658734167.341,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.169262, 1744658734169.262,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.171205, 1744658734171.206,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.173149, 1744658734173.149,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.175027, 1744658734175.027,  23.709, 213.829, 213.715, 156.759
2025-04-14 21:25:34.176904, 1744658734176.904,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.178781, 1744658734178.781,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.180659, 1744658734180.659,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.182536, 1744658734182.536,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.184410, 1744658734184.410,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.186285, 1744658734186.284,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.188158, 1744658734188.158,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.190032, 1744658734190.031,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.191905, 1744658734191.905,  23.710, 213.829, 213.715, 156.759
2025-04-14 21:25:34.193778, 1744658734193.778,  23.710, 213.829, 213.715, 156.759
